"","Adygey","Altay","Amur","Arkhangel'sk","Astrakhan'","Bashkortostan","Belgorod","Bryansk","Buryat","Chechnya","Chelyabinsk","Chukot","Chuvash","City of St. Petersburg","Dagestan","Gorno-Altay","Ingush","Irkutsk","Ivanovo","Kabardin-Balkar","Kaliningrad","Kalmyk","Kaluga","Kamchatka","Karachay-Cherkess","Karelia","Kemerovo","Khabarovsk","Khakass","Khanty-Mansiy","Kirov","Komi","Kostroma","Krasnodar","Krasnoyarsk","Kurgan","Kursk","Leningrad","Lipetsk","Maga Buryatdan","Mariy-El","Mordovia","Moscow City","Moskva","Murmansk","Nenets","Nizhegorod","North Ossetia","Novgorod","Novosibirsk","Omsk","Orel","Orenburg","Penza","Perm'","Primor'ye","Pskov","Rostov","Ryazan'","Sakha","Sakhalin","Samara","Saratov","Smolensk","Stavropol'","Sverdlovsk","Tambov","Tatarstan","Tomsk","Tula","Tuva","Tver'","Tyumen'","Udmurt","Ul'yanovsk","Vladimir","Volgograd","Vologda","Voronezh","Yamal-Nenets","Yaroslavl'","Yevrey","Zabaykal'ye"
"Adygea",1,5,5,9,8,12,7,6,6,7,10,6,7,20,6,10,6,7,7,13,9,6,5,8,15,6,8,10,7,11,6,6,7,8,10,5,6,7,7,12,7,6,11,5,8,6,9,11,7,11,6,5,8,5,6,9,6,6,6,5,8,5,7,7,10,9,6,8,6,5,5,6,6,5,9,7,7,5,7,11,9,5,10
"Altai Krai",5,2,5,10,7,12,7,6,6,8,8,6,6,20,7,8,6,7,7,13,9,6,6,8,16,6,8,9,6,10,6,5,7,9,10,6,6,9,7,13,8,7,10,6,7,6,10,11,8,10,6,6,8,6,6,9,6,6,6,6,6,5,6,7,9,9,6,7,6,5,5,6,7,6,8,6,8,6,8,11,9,6,10
"Altai Republic",12,10,12,12,12,14,13,13,13,13,14,13,13,18,12,14,13,13,13,13,13,13,12,13,16,10,13,13,13,12,13,13,14,13,13,13,13,13,12,13,12,13,14,14,14,13,12,12,14,14,14,12,12,13,13,13,14,13,13,13,11,13,13,13,10,14,12,12,14,12,13,13,13,13,13,11,14,14,13,12,12,13,13
"Amur Oblast",5,4,1,11,8,12,7,7,5,8,11,5,6,20,8,10,5,6,7,14,10,6,5,8,16,7,6,9,7,13,5,5,7,9,10,5,4,8,7,12,8,8,10,6,7,6,9,12,7,10,4,5,6,5,5,7,5,6,7,5,8,4,7,7,9,9,5,8,5,4,4,4,6,3,10,7,8,7,8,11,10,5,11
"Arkhangelsk Oblast",9,10,11,2,9,11,11,7,11,11,10,11,10,20,9,11,9,8,10,13,11,10,10,10,13,9,11,9,9,11,12,12,12,10,9,10,10,10,9,14,11,12,12,11,8,9,10,11,11,10,10,9,10,11,11,11,11,12,10,9,8,11,11,9,11,10,11,11,10,11,11,11,11,12,8,11,11,11,10,11,11,11,10
"Astrakhan Oblast",9,7,8,9,1,10,10,8,8,9,10,9,8,20,8,11,9,8,9,13,11,9,9,9,14,8,10,9,7,11,9,10,7,9,10,7,8,9,10,11,9,9,10,8,8,10,10,12,10,11,9,9,9,9,9,10,8,9,7,6,7,8,8,10,10,9,9,7,9,9,9,9,9,10,9,9,9,9,9,11,9,9,10
"Bashkortostan",13,11,12,12,10,0,9,11,10,11,12,10,11,19,8,10,12,10,11,13,11,12,11,10,15,10,11,11,11,12,11,12,9,10,10,10,11,11,11,10,11,9,10,10,12,11,10,12,10,12,11,12,12,12,12,11,10,10,12,10,10,10,10,11,11,12,11,7,11,12,12,12,13,11,12,12,10,10,10,11,10,12,12
"Belgorod Oblast",8,8,8,11,10,9,1,8,7,9,9,8,9,20,8,10,8,9,7,15,9,8,8,9,16,9,6,8,9,13,7,8,7,8,10,8,8,7,9,12,9,8,10,8,9,8,6,13,4,11,9,8,8,8,7,7,8,8,9,9,9,8,8,9,8,9,8,9,8,8,9,8,9,8,9,8,5,6,8,11,10,7,11
"Bryansk Oblast",7,7,8,8,9,11,7,1,5,8,7,8,7,20,8,10,7,5,6,12,10,7,7,8,14,8,8,8,7,9,8,8,8,7,7,6,6,8,6,10,8,8,11,7,4,7,10,11,8,10,6,7,7,7,8,8,7,8,6,7,8,7,7,6,10,8,7,7,6,7,7,8,7,8,6,8,9,8,7,10,9,8,9
"Buryatia",7,7,7,11,8,10,7,4,2,7,8,7,7,20,7,9,8,6,8,12,10,8,7,6,15,5,8,9,7,10,7,7,7,8,9,5,6,8,7,7,7,5,10,7,5,7,10,9,8,10,8,7,8,7,7,9,8,7,7,6,6,6,5,8,9,9,8,8,8,6,6,8,8,7,8,7,8,7,7,12,8,8,9
